Symbol,Quantity,AvgBuyPrice,AvgSellPrice,PnL,CurrentPrice
JPPOWER,0,0,16.53,0.10,16.53
TATSILV,0,0,22.53,0.40,22.53
TATAGOLD,0,0,14.3,0.10,14.3
HDFCBANK,10,785.25,0,0,785.25
WEBELSOLAR,10,74.85,0,0,74.85
FIRSTCRY,0,0,249.75,3.20,249.75
RPOWER,0,0,22.97,0.20,22.97
YESBANK,0,0,18.72,0.10,18.72
GOLDBEES,10,121.64,0,0,121.64
SILVERBEES,0,0,221.25,3.50,221.25
SUZLON,0,0,42.29,0.40,42.29
MRPL,0,0,193.0,3.50,193.0
ADANIPOWER,0,0,154.53,3.00,154.53
ETERNAL,0,0,233.2,3.0,233.2
INOXGREEN,0,0,161.11,4.80,161.11
NMDC,0,0,80.95,0.80,80.95
IDBI,0,0,73.23,1.80,73.23
OLAELEC,0,0,23.74,0.20,23.74
TATASTEEL,0,0,197.39,2.20,197.39
